Key,Id,English(en),Portuguese(pt),Spanish(es)
"Topography_HeightAcceptanceRange_Value",142788569284608,"Value: 25 mm","Valor: 25 mm",
"Topography_TopographyName",142933880946688,"Topography Name:","Nome da Topografia:",
"Topography_NoTopographySelected",142985269559296,"No Topography Selected","Nenhuma Topografia selecionada",
"Topography_RenameTopography",143030966501376,"Rename Topography","Renomeie a Topografia",
"Calibration_CornerCalibration",143085093994496,"Corner Calibration","Calibração de Canto",
"Calibration_CornerCalibration_Instruction",143086989819904,"Corner Calibration Instructions:


Drag the CYAN corners around the shape of the sandbox in the depth image.


Drag the RED corners to the actual corners projected onto the sandbox (Look at projection).","Instruções de calibração de canto:

Arraste os cantos CYAN ao redor da forma da área restrita na imagem de profundidade.

Arraste os cantos VERMELHOS para os cantos reais projetados na área restrita (Veja a projeção).",
"Calibration_DepthCalibration",143088579461120,"Depth Calibration","Calibração de Profundidade",
"Calibration_DepthCalibration_Instruction",143223535386624,"Depth Calibration Instructions:


Touch the LOWEST part of the depth image and then the HIGHEST.


The depth range can be fine-tuned with the sliders to the right.","Instruções de calibração de profundidade:

Toque na parte MAIS BAIXA da imagem de profundidade e depois na MAIS ALTA.

A faixa de profundidade pode ser ajustada com os controles deslizantes à direita.",
"Calibration_Lens Shift_Calibration",143224378441728,"Lens Shift
Calibration","Calibração de
Mudança de lente",
"Calibration_Lens Shift_Instruction",143225137610752,"Lens Shift Calibration Instructions:


Use the Lens Shift option to make the peaks and troughs line up on the projection. Note that you will probably have to use the Horizontal Translation afterwards to line up the projection properly.


Use the other options to fine tune the calibration.","Instruções de calibração de mudança de lente:

Use a opção Lens Shift para alinhar os picos e calhas na projeção. Observe que você provavelmente terá que usar a Tradução Horizontal depois para alinhar a projeção corretamente.

Use as outras opções para ajustar a calibração.",
"Calibration_Lens Shift",143225829670912,"Lens Shift","Mudança de Lente",
"Calibration_Lens Shift_HorizontalTranslation",143226622394368,"Horizontal Translation","Tradução Horizontal",
"Calibration_Lens Shift_VerticalTranslation",143227142488064,"Vertical Translation","Tradução Vertical",
"Calibration_Lens Shift_HorizontalScale",143227851325440,"Horizontal Scale","Escala Horizontal",
"Calibration_Lens Shift_VerticalScale",143715116204032,"Vertical Scale","Escala Vertical",
"Calibration_Start",143717024612352,"Start Calibration","Iniciar Calibração",
"Calibration_TouchHighestPoint",143717989302272,"Touch Highest Point","Toque no Ponto mais Alto",
"Calibration_TouchLowestPoint",143857009508352,"Touch Lowest Point","Toque no Ponto mais Baixo",
"Calibration_MaxDepth",143857735122944,"Max Depth","Profundidade Máxima",
"Calibration_MinDepth",143858511069184,"Min Depth","Profundidade Mínima",
"xxxxxxx",143859224100864,"Depth Calibration","Calibragem de Profundidade",
"Calibration_Next",143859865829376,"Next","Próximo",
"Calibration_Back",143860532723712,"Back","Voltar",
"Calibration_Less",143861182840832,"Less","Menos",
"Calibration_More",143861862318080,"More","Mais",
"Calibration_Shrink",143862541795328,"Shrink","Encolher",
"Calibration_Grow",143863229661184,"Grow","Crescer",
